#name,M200,Xcr,Fγ_exp,Fγ_UL,z
2A0335,2.6e14,0.014000000000000002,2.84e-10,1.5e-10,0.04
A0085,7.8e14,0.010000000000000002,2.93e-10,3.9e-10,0.06
A0119,8.6e14,0.014000000000000002,1.42e-10,5.0e-10,0.04
A0133,4.1e14,0.013000000000000001,7.2e-11,1.7e-10,0.06
A0262,9.0e13,0.03,1.21e-10,2.0e-10,0.02
A0400,1.2e14,0.028000000000000004,4.4e-11,2.22e-9,0.02
A0478,8.6e14,0.009,2.4500000000000003e-10,2.8e-10,0.09
A0496,4.6e14,0.012,2.83e-10,5.500000000000001e-10,0.03
A0548,1.4000000000000002e14,0.026000000000000002,2.5e-11,2.7000000000000005e-10,0.04
A0576,4.4e14,0.016,6.3e-11,2.7000000000000005e-10,0.04
A0754,1.35e15,0.008,1.69e-10,4.8e-10,0.05
A1060,2.3e14,0.018,2.28e-10,4.3e-10,0.01
A1367,7.1e14,0.013000000000000001,1.92e-10,7.8e-10,0.02
A1644,7.0e14,0.014000000000000002,1.3000000000000002e-10,3.5000000000000003e-10,0.05
A1795,9.5e14,0.011000000000000001,3.01e-10,1.3000000000000002e-10,0.06
A2065,1.0900000000000001e15,0.008,9.2e-11,4.5999999999999996e-10,0.07
A2142,1.4e15,0.014000000000000002,3.4500000000000005e-10,1.6000000000000002e-10,0.09
A2199,4.0e14,0.013000000000000001,3.0e-10,4.3e-10,0.03
A2244,5.2e14,0.014000000000000002,7.600000000000001e-11,1.3000000000000002e-10,0.1
A2255,7.6e14,0.011000000000000001,8.5e-11,4.4000000000000003e-10,0.08
A2256,1.18e15,0.017,2.55e-10,1.3000000000000002e-10,0.06
A2589,3.0e14,0.013000000000000001,6.800000000000001e-11,2.7000000000000005e-10,0.04
A2597,3.5e14,0.017,7.600000000000001e-11,1.0e-10,0.09
A2634,4.3e14,0.013000000000000001,6.2e-11,3.7e-10,0.03
A2657,5.8e14,0.015,8.3e-11,1.9e-10,0.04
A2734,4.6e14,0.012,4.4e-11,1.2e-10,0.06
A2877,6.5e14,0.012,5.1000000000000005e-11,9.0e-11,0.03
A3112,4.1e14,0.014000000000000002,1.1100000000000002e-10,6.0e-10,0.08
A3158,5.5000000000000006e14,0.009,1.2e-10,1.5e-10,0.06
A3266,1.89e15,0.015,3.13e-10,3.9e-10,0.06
A3376,6.5e14,0.017,6.9e-11,4.3e-10,0.05
A3822,4.5e14,0.017,4.5e-11,2.1000000000000002e-10,0.08
A3827,1.52e15,0.009,9.8e-11,6.0e-11,0.1
A3921,6.3e14,0.013000000000000001,4.7e-11,2.2000000000000002e-10,0.09
A4038,2.4e14,0.017,1.34e-10,2.5e-10,0.03
A4059,4.2e14,0.013000000000000001,9.7e-11,2.0e-10,0.05
COMA,9.6e14,0.012,1.14e-9,4.0e-10,0.02
EXO0422,2.5e14,0.017,7.2e-11,5.0e-11,0.04
FORNAX,1.2e14,0.025,8.4e-11,3.1e-10,0.01
HCG94,2.1e14,0.021,3.8000000000000004e-11,2.4e-10,0.04
HYDRA_A,3.8e14,0.012,1.67e-10,4.3e-10,0.06
IIIZw54,3.5e14,0.016,4.5e-11,5.0e-10,0.03
IIZw108,3.6e14,0.019000000000000003,4.0000000000000004e-11,1.3000000000000002e-10,0.05
NGC_1550,6.0e13,0.033,6.7e-11,2.2999999999999998e-10,0.01
NGC_5044,4.0e13,0.042,6.1e-11,3.0e-10,0.01
RXJ2344,8.6e14,0.011000000000000001,5.7e-11,2.9e-10,0.08
S405,4.4e14,0.018,4.0000000000000004e-11,1.2e-10,0.06
S540,2.4e14,0.018,3.5e-11,4.0e-10,0.04
UGC03957,3.1e14,0.015,5.0e-11,4.0e-10,0.03
ZwCl1742,9.8e14,0.010000000000000002,1.17e-10,2.2999999999999998e-10,0.08
